Week of,Spend ($SGD Million)
2020-09-14,145.92498981249997
2020-09-21,419.10410066367996
2020-09-28,-37.30961721755999
2020-10-05,-72.25147671987001
2020-09-07,210.80876497008995
2020-09-14,145.92498981249997
2020-09-21,419.10410066367996
2020-09-28,-37.30961721755999
2020-08-31,189.62631936539
2020-09-07,210.80876497008995
2020-09-14,145.92498981249997
2020-09-21,419.10410066367996
2020-08-24,173.05210803175999
2020-08-31,189.62631936539
2020-09-07,210.80876497008995
2020-09-14,145.92498981249997
2020-08-17,329.14674267043
2020-08-24,173.05210803175999
2020-08-31,189.62631936539
2020-09-07,210.80876497008995
2020-08-11,60.59847287173003
2020-08-17,329.14674267043
2020-08-24,173.05210803175999
2020-08-31,189.62631936539
2020-08-03,113.46222599659998
2020-08-11,60.59847287173003
2020-08-17,329.14674267043
2020-08-24,173.05210803175999
2020-07-27,98.67407500498001
2020-08-03,113.46222599659998
2020-08-11,60.59847287173003
2020-08-17,329.14674267043
2020-07-20,135.25853978368
2020-07-27,98.67407500498001
2020-08-03,113.46222599659998
2020-08-11,60.59847287173003
2020-07-13,125.11666487699
2020-07-20,135.25853978368
2020-07-27,98.67407500498001
2020-08-03,113.46222599659998
2020-07-06,35.521444389460015
2020-07-13,125.11666487699
2020-07-20,135.25853978368
2020-07-27,98.67407500498001
2020-06-29,52.55475082512001
2020-07-06,35.521444389460015
2020-07-13,125.11666487699
2020-07-20,135.25853978368
2020-06-22,474.0517298043901
2020-06-29,52.55475082512001
2020-07-06,35.521444389460015
2020-07-13,125.11666487699
2020-06-15,561.8116686221899
2020-06-22,474.0517298043901
2020-06-29,52.55475082512001
2020-07-06,35.521444389460015
2020-06-08,474.22244527746005
2020-06-15,561.8116686221899
2020-06-22,474.0517298043901
2020-06-29,52.55475082512001
2020-06-01,-191.97465923469
2020-06-08,474.22244527746005
2020-06-15,561.8116686221899
2020-06-22,474.0517298043901
2020-05-26,292.28214367896004
2020-06-01,-191.97465923469
2020-06-08,474.22244527746005
2020-06-15,561.8116686221899
2020-05-18,369.25040189272
2020-05-26,292.28214367896004
2020-06-01,-191.97465923469
2020-06-08,474.22244527746005
2020-05-11,626.19978571896
2020-05-18,369.25040189272
2020-05-26,292.28214367896004
2020-06-01,-191.97465923469
2020-05-04,382.34538178608
2020-05-11,626.19978571896
2020-05-18,369.25040189272
2020-05-26,292.28214367896004
2020-04-27,-103.94958615487005
2020-05-04,382.34538178608
2020-05-11,626.19978571896
2020-05-18,369.25040189272
2020-04-20,475.79732974888
2020-04-27,-103.94958615487005
2020-05-04,382.34538178608
2020-05-11,626.19978571896
2020-04-13,199.37867492060002
2020-04-20,475.79732974888
2020-04-27,-103.94958615487005
2020-05-04,382.34538178608
2020-04-06,-191.32388600567998
2020-04-13,199.37867492060002
2020-04-20,475.79732974888
2020-04-27,-103.94958615487005
2020-03-30,259.57218398417996
2020-04-06,-191.32388600567998
2020-04-13,199.37867492060002
2020-04-20,475.79732974888
2020-03-23,-180.66863260351
2020-03-30,259.57218398417996
2020-04-06,-191.32388600567998
2020-04-13,199.37867492060002
2020-03-16,725.9179732164699
2020-03-23,-180.66863260351
2020-03-30,259.57218398417996
2020-04-06,-191.32388600567998
2020-03-09,671.1158324414699
2020-03-16,725.9179732164699
2020-03-23,-180.66863260351
2020-03-30,259.57218398417996
2020-03-02,618.0817110353701
2020-03-09,671.1158324414699
2020-03-16,725.9179732164699
2020-03-23,-180.66863260351
2020-02-24,888.7995121016501
2020-03-02,618.0817110353701
2020-03-09,671.1158324414699
2020-03-16,725.9179732164699
2020-02-17,349.86302121970004
2020-02-24,888.7995121016501
2020-03-02,618.0817110353701
2020-03-09,671.1158324414699
2020-02-10,-56.25274212747998
2020-02-17,349.86302121970004
2020-02-24,888.7995121016501
2020-03-02,618.0817110353701
2020-02-03,-23.666897961469992
2020-02-10,-56.25274212747998
2020-02-17,349.86302121970004
2020-02-24,888.7995121016501
2020-01-27,108.65965412145009
2020-02-03,-23.666897961469992
2020-02-10,-56.25274212747998
2020-02-17,349.86302121970004
2020-01-20,-8.54259012724002
2020-01-27,108.65965412145009
2020-02-03,-23.666897961469992
2020-02-10,-56.25274212747998
2020-01-13,-24.981086612770024
2020-01-20,-8.54259012724002
2020-01-27,108.65965412145009
2020-02-03,-23.666897961469992
2020-01-06,-149.83681418691006
2020-01-13,-24.981086612770024
2020-01-20,-8.54259012724002
2020-01-27,108.65965412145009
2019-12-30,-16.648266813909984
2020-01-06,-149.83681418691006
2020-01-13,-24.981086612770024
2020-01-20,-8.54259012724002
2019-12-23,-55.493970670559996
2019-12-30,-16.648266813909984
2020-01-06,-149.83681418691006
2020-01-13,-24.981086612770024
2019-12-09,6.746614471190005
2019-12-16,39.03249544593998
2019-12-23,-55.493970670559996
2019-12-30,-16.648266813909984
2019-12-02,117.04031012946001
2019-12-09,6.746614471190005
2019-12-16,39.03249544593998
2019-12-23,-55.493970670559996
2019-11-25,103.18098452554
2019-12-02,117.04031012946001
2019-12-09,6.746614471190005
2019-12-16,39.03249544593998
2019-11-18,30.418791730959974
2019-11-25,103.18098452554
2019-12-02,117.04031012946001
2019-12-09,6.746614471190005
2019-11-11,-109.83667722925999
2019-11-18,30.418791730959974
2019-11-25,103.18098452554
2019-12-02,117.04031012946001
2019-11-04,-167.7756418760399
2019-11-11,-109.83667722925999
2019-11-18,30.418791730959974
2019-11-25,103.18098452554
2019-10-28,-212.88937603723005
2019-11-04,-167.7756418760399
2019-11-11,-109.83667722925999
2019-11-18,30.418791730959974
2019-10-21,-118.68277748515001
2019-10-28,-212.88937603723005
2019-11-04,-167.7756418760399
2019-11-11,-109.83667722925999
2019-10-14,24.063147747350015
2019-10-21,-118.68277748515001
2019-10-28,-212.88937603723005
2019-11-04,-167.7756418760399
2019-10-07,-47.333361198350005
2019-10-14,24.063147747350015
2019-10-21,-118.68277748515001
2019-10-28,-212.88937603723005
2019-09-30,218.341814
2019-10-07,-47.333361198350005
2019-10-14,24.063147747350015
2019-10-21,-118.68277748515001
2019-09-23,110.21596700732998
2019-09-30,218.341814
2019-10-07,-47.333361198350005
2019-10-14,24.063147747350015
2019-09-16,65.70035854267998
2019-09-23,110.21596700732998
2019-09-30,218.341814
2019-10-07,-47.333361198350005
2019-09-09,-131.50111869549994
2019-09-16,65.70035854267998
2019-09-23,110.21596700732998
